SID,Pouvez-vous expliquer vos réponses merci ...,Note merci
15904444,l incertitude sur la pérennisation d un poste est telle que le niveau d engagement d un e jeune diplômé e post doc à l étranger éventuellement plusieurs post docs doit être tel que le confort personnel possibilité de s installer durablement dans une ville dans une vie personnel paraît complexe le taux de pression dans les concours mcf est tel que certains très bons profils sont laissés de côté de sorte que la seule qualité scientifiquepédagogique ne suffit pas cela rend l entrée dans la carrière mcfpr sujette à beaucoup d aléas qui ne seront pas aussi prégnants en démarrant dans l industrie par contre il faut reconnaître que le métier reste attractif par la liberté encore laissée sur le choix des thématiques de recherche etou les personnes avec lesquelles on veut collaborer,0
15904821,un beau métier très dégradé depuis de trop longues années je le conseille encore mais en mettant carte sur table sur les avantagesinconvénients,0
15905974,en recherche la production d indicateurs est devenue primordiale par rapport à la production de résultats l enseignement se disperse de plus en plus dans la prise en compte de particularités cmi oui si handicap qui si elles sont nécessaires et doivent être prises en compte nécessitent des moyens qui pour l instant sont inexistants dit autrement j ai l impression de m épuiser à faire des choses inutiles ou finalement mal faites par manque de moyens j ai énormément apprécié d être chercheur puis enseignant chercheur a l heure actuelle je suis très content de voir approcher l heure de la retraite,0
15906238,je ne suis plus candidat à la ripec suite aux attributions effectuées de manière arbitraire une procédure opaque sans aucun compte rendu avec des avis locaux en flagrante contradiction avec d autres avis nationaux d autres adjectifs me viennent je vous en fais grâce ps je n ai pas su répondre ouinon aux questions de la page précédente sur une échelle,0
15906431,j ai pu passer facilement mcf hc mon investissement au niveau local et national dans le système iut a été reconnu enseigner reste un beau métier les iut restent un bel endroit où enseigner mais la réforme bureaucratiquement et idéologiquement menée du but a dégradé les conditions de travail et engendré une perte de sens,0
15906767,la répartition idéale n est pas claire et devrait certainement évoluer au cours de la carrière depuis de nombreuses années j ai eu des responsabilités lourdes en enseignement en recherche et en administration de la recherche même si cela me demande un investissment en particulier en temps important ces activités sont particulièrement enrichissantes la diversité des aspects du métier avec la liberté quand on est dans un environnement propice d orienter ses activités est pour moi un atout majeur du métier,1
15907544,je n ai pas demandé la ripec,0
15907948,enseignant chercheur est un super métier mais je pense qu on n apprend plus aux jeunes à aimer la difficulté j observe une dérive vers des recherches molles pluri disciplinaires superficielles répondant plus à des défis sociétaux qu à des défis scientifiques durs,0
15908558,pour ce qui est de la répartition era pas très pertinent certaines responsabilités font qu il devient très difficile pour pas dire illusoire de continuer une activité de recherche certains projets avec leur gestion mériteraient un arrêt de l enseignement etc,0
15909012,pensez vous avoir de bonnes chances de progresser dans votre carrière changement de grade de classe oui réponse un peu opposée à la page précédente car le contexte des années a venir est favorable mais c est le hasard,0
15909225,contraintes administratives croissantes chronophages et sclérosantes qui auto justifient la complexité administrative à l encontre du coeur de notre métier qui nécessite des conditions sereines pour innover expérimenter créer transmettre et diffuser des connaissances perte de l esprit du travail en équipe par une volonté de séparer l administration des enseignants chercheurs au lieu de favoriser la vraie collaboration pour participer aux mêmes missions mise en concurrence croissante entre collègues pour l obtention de financements pour l enseignement et surtout pour la recherche et pour l obtention des promotions et des primes des évaluations sans cesse avec tous les biais qui les accompagnent pour obtenir le moindre financement pour gagner un peu plus en obtenant une prime qui devrait nous faire oublier nos salaires qu il ne faut surtout pas comparer avec celui de copains qui ont eu la bonne idée d aller travailler en entreprise manque énorme de recrutements et nombre croissant d étudiants dont il n est pas possible car je ne suis pas en iut de contrôler les flux impliquant un investissement déraisonnable avec un nombre d heures de travail heures complémentaires travail le soir week end vacances acceptées à cause de la conscience de chacun surtout envers les étudiants doctorants compris et de l espoir de ne pas se fermer les portes d une éventuelle évolution de carrière et surtout pour ceux qui essaient malgré les conditions de remplir au mieux les deux missions qui forment le nom de notre métier burn out de collègues mise en disponibilité de collègues qui partent dans des entreprises et qui ne reviendront probablement jamais mépris de certains responsables envers les collègues manque de confiance désir de tout contrôler de certains responsables notamment administratifs nécessité de devoir tout faire soi même car disparition des supports et des soutiens on passe de plus en plus de notre temps en dehors du coeur de notre métier faire de la comptabilité lire les textes juridiques rédiger des réponses à appels à projet rédiger des dossiers d évaluation faire du travail administratif de scolarité chercher des billets d avions remplir des formulaires mal tournés pour le nième fois remplacer la communication basique par le dépôt de tickets demander des autorisations pour tout je suis dans une zrr devoir attendre des jours pour un problème qui aurait dû être réglé en cinq minutes etc tous ces éléments ont participé à la dégradation progressive de nos conditions de travail et mènent souvent à un sentiment d écoeurement très fort pour ceux qui sont consciencieux respectueux pas trop égoïstes et qui gardent quelques scrupules pour les autres c est un terrain de jeu amusant si on rajoute à tout cela les bonnes conditions actuelles dans le monde des entreprises du domaine où les jeunes négocient des salaires de départ qui rendent ridicules les nôtres avec des conditions de travail incomparables ils peuvent rentrer chez eux le soir et ne pas retravailler une partie de la nuit prendre leurs week ends et leurs vacances sans travailler et surtout sans culpabiliser quel métier étrange et plein d hypocrisie que celui où on a pleuré pendant des années parce que le doctorat n était pas reconnu mais où on a longtemps obligé pour être candidat à un poste d enseignant chercheur à être qualifié discréditant ainsi publiquement le doctorat quel métier étrange où des collègues ont arrêté de faire la moitié de leur métier la recherche mais siègent dans des commissions et autres conseils dans lesquels ils se permettent de juger les dossiers de collègues y compris et surtout puisqu il y a des indicateurs sur le volet recherche et quand ils jugent l investissement collectif l appartenance actuelle ou passée à la même commission ou conseil est un avantage considérable quel métier plein d hypocrisie où on se fait croire que l on juge les trois volets d un dossier mais où en réalité c est la recherche qui est d abord et significativement prise en compte quel métier étrange et plein d hypocrisie que celui où on récompense ceux qui ont un bon dossier en leur permettant de faire moins ou plus du tout d enseignement une charge au sens péjoratif pour pouvoir faire davantage de recherche l activité noble tout en laissant les collègues assumer la charge d enseignement supplémentaire et augmenter ses chances de promotions et d évolution de carrière pendant que les autres font le sale boulot c est à dire tourner la boutique s il n y avait pas les étudiants je pense que j aurais arrêté ps ce formulaire n a pas été relu il y a encore un vous à la place de vos dans cette question beaucoup de questions sont ambiguë ou imprécises des explications auraient dû les accompagner l aspect temporel n est pas clair ou assez pris en compte le regroupement de la notion de relations et de nombre ne permet pas de donner des réponses claires l échelle de réponse change et le sens aussi on est passé de à ci dessus les réponses des pages précédentes parlaient de satisfaction ci dessous ce seraient plutôt des réponses du type oui non ci dessus j ai supposé que signifiait non absolument pas ci dessous il y a marqué nouveau champ conteneur comme je l ai écrit plus haut un travail rigoureux de relecture aurait été le bienvenu sur la forme mais aussi sur le fond je ne pense pas qu il puisse permettre de refléter correctement notre notre ressenti sur nos conditions de travail et sur les évolutions de notre métier mais ce formulaire a le mérite d exister même si je doute qu il serve finalement à quelque chose,0
15915153,il y a beaucoup de bons côtés dans ce métier l enseignement la liberté dans la conduite de sa recherche cela reste un travail gratifiant mais dans un domaine évoluant très rapidement le temps disponible pour la veille scientifique et la mise à jour de ses compétences est trop restreint et trop morcelé il faudrait que cela soit davantage reconnu et encouragé financement de formations par exemple comme cela se fait dans le privé je trouve également que les dossiers de demande de primes sont trop chronophages et donc je ne les dépose pas car il y a toujours d autres choses urgentes et surtout plus intéressantes à faire personnellement l argent ne m intéresse pas je préférerais avoir plus de temps à consacrer à la recherche et un meilleur soutien administratif cet argent pourrait être consacré à des recrutements qui rendraient notre quotidien plus facile,1
15923766,salaire peu attrayant en début de carrière,1
15923772,questionnaire trop long il aurait fallu laisser la place au qualitatif texte comme ici globalement l établissement ne concerte pas lors de l évolution les ec sont à la fois là pour enseigner mais aussi mettre en place des politiques déjà décidées et mal ficelées l établissement n exploite pas du tout le potentiel des ecs qui pourraient aider à ne pas faire des erreurs stratégiques des établisssments sur par exemple la nature ou volume des nouvelles formations aucune perspective d évolution aussi en général,1
15924028,aujourd hui le meilleur moyen de recrutement reste les lru du temporaire qui reste une vaste blague qui détériore les équipesservicesdépartements les moyens sont de plus en plus concentrés vers un très petit nombre de personnes cela crée un malaise général qui est destructeur il m est difficile de conseiller ce métier à un doctorant vu la très faible probabilité de recrutement sur un poste qui lui permettrait de s épanouir,0
15924183,trop peu rémunéré pour le temps passé trop peu de temps finalement pour le coeur de métier enseignant chercheur trop de tâches administratives pédagogiques,0
15924241,j aime enseigner et j aime faire de la recherche mais les conditions concrètes administrations locaux budgets salaires dégradent considérablement le plaisir de faire ce métier,0
15924419,pour l aspect ripec notre établissement a une politique anti prime ce qui veut dire que même des collègues évalués avec aaa par le cnu n ont pas cette prime c est peut être le retour er année mais faut juste que l établissement change un peu sa politique,0
15924584,je reste convaincu que c est le plus beau métier du monde et je le conseille à tou te s mais l état continu de le rendre non attractif la meilleure preuve en est le niveau général des candidats par les contraintes qui sont imposées trouver ses financements réaliser des tâches de secrétariat empêcher de voyager pour des raisons écologiques etc,0
15924606,la sous dotation et le manque d attractivité d une petite université comme limoges expliquent en partie mes réponses il est par exemple difficile de refuser d assumer certaines charges administratives ce qui handicape les jeunes ec en début de carrière et limite leur accès aux grands réseaux de recherche,1
15924778,travaillant dans le domaine de l ia au sens large il est très facile pour les doctorants de trouver un job dans le privé avec des conditions bien meilleures que celles que nous pouvons offrir à l université en france les postes lru qui devaient permettre d offrir de meilleurs conditions sont justes utilisé pour faire des postes de mcf au rabais forcément ça n attire pas n étant pas sous statut fonctionnaire et comme cela va probablement devenir de plus en plus courant il serait bien d élargir le cadre de réflexion sur les questions liées aux carrières,0
15924853,ce que je suis contraint de faire ne m intéresse plus mais c est intéressant pour un jeune car il aura moins de responsabilité et plus de temps pour la recherche les projets et les enseignements certains savent exploiter le système et manuvrent très malignement pour ne pas avoir beaucoup de responsabilités les taches pénibles retombent sur les bonnes volontés des consciencieux qui se sentent investis de la volonté de faire fonctionner un peu le système dommage que ceux là se heurtent à une muraille de chine administrative,0
15925026,milieu fermé favoritisme et réseautage les gens qui s intéressent vraiment aux étudiants sont ceux dont la carrière ne progressera jamais,0
15926339,au delà des charges administratives c est l environnement de travail qui s est globalement dégradé manque récurent d enseignants en particulier dans cette période post covid et la baisse du niveau des étudiants associée de nombreuses tâches annexes non sont maintenant allouées notamment pour alléger le travail des équipes techniques et administratives manque de bourses de thèse hors projet de recherche etc la recherche de financement est aussi devenu un problème nous consacrons un temps trop important à monter des projets qui pour être acceptés ont nécessairement déjà été partiellement réalisés sinon il n est pas possible de rédiger un projet suffisamment détaillé pour être accepté ce temps passé avec les taux d acceptation que l on connait ainsi que le temps d évaluation de ces projets et donc l argent que cela coute pourrait être mieux utilisé je ne découragerais pas un ou une jeune chercheuse d intégrer la recherche académique mais je pense en revanche qu il est important qu il ou elle connaisse les conditions réelles d exercice car la part d enseignementd admistrationtâches annexes est bien plus importante que ce qu ils ou elles peuvent imaginer,0
15926997,je suis toujours très heureuse de faire ce métier mais sur la longueur j entrevois que cela peut être épuisant les charges d enseignement et administratives sont très conséquentes si on veut les mener à bien et encore je me sens privilégiée à l insa pour que la recherche n en pâtisse pas il faut un rythme très soutenu que je ne pense pas arriver à tenir sur la longueur les délégations et crct me paraissent être de bonnes solutions temporaires mais peu viables sur le long terme je commence déjà à être frustrée de ne pas réussir à faire autant de recherche que je le souhaiterai le manque de reconnaissance salariale surtout en début de carrière est un très gros frein au recrutement de bons candidats qui préfèrent partir dans l industrie,0
15927297,déprimant évolution reconnaissance sauf si vous êtes un cador en recherche,1
15927511,mon fils veut faire un thèse j ai dis ok à condition de ne pas finir enseignant chercheur,0
15927660,j hésite à proposer un sujet de thèse à un e doctorant e compte tenues des perspectives de carrière dans l ens,1
15927775,c est un enfer j ai fait années d études partis a l étranger plus de ans dans le cadre des études et du doctorat pour finalement faire plus d heures que tout mes amis arrêter avant en terme d étude être moins payé et surtout devoir lutter et me donner à encore pour avoir ne serais que la chance d avoir un cdi honnêtement plus je pense à la thèse plus je me dit que ca a été la plus grosse erreur de ma vie je me suis bouché des voies ou alors il faudrait travailler a l étranger je ne voit pas une seule raison qui me ferais conseiller ce métier a un amis,0
15927798,il manque la possibilité sur la partie administrative de parler du passé j ai été vp cevu appelé cfvu aujourd hui puis directeur de site d iut puis chef de département fois tout de suite je n ai plus de responsabilités mais il est indéniable que tout cela a un impact sur mon exercice du métier et ma vision de ce dernier,1
15928334,le métier reste passionant mais avec de plus en plus de contraintes qui le rendent difficile stressant avec des soirées tardives à bosser et ça c est devenu notre quotidien au regard de nos rémunérations et du niveau de notre travail c est tout à fait anormal,1
15929327,l ambiance le manque de reconnaissance les charges administrative le sexisme la précarité ambiante et le manque de temps pour faire de la recherche m ont dégoutée du métier,0
15930193,recherche sur projet libéralisation du service public aucun avenir fixé à une ville etc,1
15931752,de plus en plus au fil des années le système occasionne des charges croissantes en administration pour le financement de la recherche incite à faire cavalier seul plutôt que de travailler en équipe incite à faire de la recherche à et à de désintéresser des autres tâches heureusement un certain nombre de collègues y compris des jeunes ont une vraie conscience professionnelle et travaillent sur tous les aspects de leur métier parfois au détriment de leur avancement rapide le ratio enseignementrechercheadministration devrait pouvoir changer au fil des années plus facilement qu il ne le fait il est bien plus facile de passer d une dominante recherche à une dominante administration ou enseignement que l inverse,1
15933511,nos thésards nous disent ne pas vouloir avoir la même vie que nous c est triste,1
15935298,la recherche basée uniquement sur des appels à projets nuit à l implication dans des thèmes qui ne sont pas porteurs ou valorisables à court terme le monde de la recherche en informatique à bien changé d ailleurs nous n avons presque plus aucun candidat d origine française en thèse en raison de la faible considération du métier et de la faible rémunération enfin l évaluation basée uniquement sur le ranking et non sur la valeur scientifique réelle des articles est très discutable,0
15936036,la dichotomie industrierecherche est moins forte qu avant on peut faire de la vrai recherche maintenant dans l industrie du coup il y a plus de possibilités après une thèse,1
15936508,je suis en poste depuis peu de temps ans mais les conditions se sont dégradées depuis ma prise de poste et semble continuer à se dégrader il est attendu de nous de prendre en charge de plus en plus de tâches administratives d encadrement et d évaluation d étudiants de façon complètement bénévole puisque ces tâches ne sont pas ou très peu prises en compte dans le service,1
15936522,j aime encore mon métier dans toutes ses facettes enseignement recherche investissement administratif est ce que je le conseillerai à un jeune idéologiquement oui c est un beau métier si par contre on veut être un peu pragmatique le ticket d entrée être recruté et progresser dans le métier est cher et les salaires ne sont pas fantastiques surtout en début de carrière avec des financements plus récurrents et moins sur projet et moins de pression ce serait top un point non abordé dans ce questionnaire est aussi notre statut en terme de congés ne pas poser de congés est une liberté mais nos collègues de instituts inria par exemple soumis à congés au final profitent beaucoup plus des congés que les ec qui pour moi payent trop cher leur liberté et n exercent pas assez leur droit à la déconnexion,0
15936532,aucune reconnaissance locale pour les profils atypique non dans l acceptation du mandarinat revenu aucune reconnaissance nationale pour les profils transversaux on n entre pas dans les cases cela ce comprends mais alors quel intérêt d être transverse sociétal et inclusif en développant les expertises de nos missions,0
15936596,manque absolu de temps long la majorité du temps disponible en recherche est accaparée par les projets rédaction évaluation comptes rendus scientifiques les promotions sont axés sur les responsabilités visibles de représentations et laisse de côté ceux qui se tuent à la tâche pour faire marcher au jour le jour,0
15936617,le bias est bien résumé dans votre question pensez vous qu il est attirant pour de jeunes chercheurs dois je vous rappeler que notre métier ne se résume pas à la recherche si on avait un peu moins de boulets qui ne pensent qu à leur recherche dans nos universités on aurait non seulement des meilleures formations mais globalement on pourrait faire une meilleure répartition des charges et ne pas avoir les mêmes les cons comme moi qui font tout le sale boulot autant dire l enseignement,0
15936768,j aime toujours faire ce métier même si je trouve le poids de l administratif de plus en plus lourd et de plus en plus contraignant cela ne donne pas envie aux jeunes quand ils voient dans quelles conditions on travaille temps de travail élevé pour salaire peu élevé par rapport au privé manque de considération et de reconnaissance de notre investissement surtout par manque de moyens peu de postes et de primes mais si un e étudiant e s est lancé e dans une thèse alors le métier d enseignant chercheur reste un débouché en adéquation avec certaines valeurs service public une certaine liberté de recherche,1
15936801,le métier est intéressant et j aime à le faire découvrir cependant les conditions dans lesquelles ont le fait les évolutions salariales au vu de l investissement et des responsabilités qu on peut avoir le rendent peu attractif pour les jeunes aussi parce que le marché de l informatique est bien payé dans le privé cette année j ai pensé à démissionner quand on connaît mon attachement au service public c est dire le cul de sac dans lequel je me sentais et qui n est pas tout à fait enterré,1
15936806,le repyramidage pr produit un biais on nous dit que puisqu il existe cette procédure ce n est pas la peine de flêcher des concours pr standard pour de la promotion pr locale sauf que cette procédure n est pas activée tous les ans selon les sections les comités de sélection sont biaisés les conflits d intérêt y sont légion on trouve insultant de se faire doubler sur des postes pr par des mc à hdr récente qui brillent plus par la comm et le copinage que par une réelle expertise nos seuils d acceptabilité de cette situation certains élus sont promus d autres peuvent toujours sur travailler en vain sont dépassés,1
15936851,le métier a beaucoup changé depuis ans avec l accélération de la marchandisation de l enseignement supérieur au delà de beaucoup sacrifier pour arriver à publier j ai peu capitalisé depuis ans alors que développeur full stack avec un bts permet finalement de gagner plus tout en profitant de ses weekend et vacances,1
15936966,le métier est très intéressant dans sa description et serait un merveilleux métier si les conditions étaient réunies pour pouvoir l exercer tel qu annoncé à savoir h d enseignement et éventuellement une aine d heure supp maximum plutôt que des fonds de recherche propre preuve d une confiance envers les chercheurs et gages d une recherche qui n est pas là juste pour répondre aux besoins et servir la politique du moment mais pour répondre aux besoins et servir les citoyens sur le long terme une liberté de recherche qui permette de rester indépendant des financements privés en l état actuel des choses je déconseille fortement aux jeunes doctorants et futurs docteurs de viser la recherche publique cela devient de la recherche dirigée pour les entreprises avec un moins bon salaire et une moins bonne reconnaissance des son investissement,0
15937073,métier intéressant mais très destructeur,1
15937183,reste à créer les postes de mcf qui nous manquent et non des postes contractuels ou non statutaire,0
15937191,la répartition enseignementrechercheadministration dépend des objectifs et des périodes de la vie pour le conseiller à un docteur cela dépend du profil de l étudiant et de ses objectifs de vie,1
15937265,j aime toujours ce métier pour la variété qu il offre mais les conditions d exercice se durcissent et la liberté disparait petit à petit remplacée par des contraintes contraintes qui ne se portent que sur ceux qui font des actions ceux qui ne font rien ne sont pas inquiétés et finalement ont la belle vie je suis franc avec les futurs docteurs ou même candidats de thèse sur les points positifs et négatifs d une carrière académique,1
15937326,conseiller oui mais ne pas embellir son image il faut être conscient de la difficulté de cumuler enseignementrechercheadministration,0
15937393,le contexte établissement et proximité importe beaucoup lorsqu on a gravi les échelons on peut plus facilement s impliquer et s investir à l extérieur personnellement aujourd hui je suis ce et je suis contente d avoir acquis par ce fait une certaine indépendance même si je continue à souhaiter prendre du plaisir en enseignant un élève qui dit merci est un plaisir qui n a pas de prix en recherche avec des jeunes idem et en partageant mon expérience de responsabilités,1
15937412,le métier est toujours passionnant mais il n est possible de le voir qu au travers des journées thématiques séminaires des événements ponctuels pendant l année il faut toujours courir dans les périodes chargées administrativement et certaines semaines la recherche ne peut se faire que le we pourquoi un docteur en informatique ferait ce métier dans ces conditions alors qu il gagnera bien plus dans le privé à condition parfois de cacher qu il est docteur certains jeunes sont encore passionnés heureusement mais l impression est qu il est difficile de trouver des candidats en france,1
15937432,ratio change dans le temps au départ beaucoup de recherche et peu d administratif métier toujours intéressant car très varié et beaucoup d autonomie plus difficile pour les jeunes qui sont dans de moins bonnes conditions que nous n en avions,1
15937468,la liberté académique et la recherche sont ce qui reste de plus beau à mes yeux l enseignement cela dépend des étudiants et de leur état d esprit je ne sais pas ce qui est attirant pour de jeunes chercheurs chacun ses goûts idem pour conseiller ce métier à un futur docteur en informatique ceux qui aiment répondre aux injonctions de l administration hceres et autres et la politique seront heureux pour faire un peu de recherche il faut endurer beaucoup d administration la liberté académique se paie chèrement,0
15937546,j ai choisi ce métier par passion pour la recherche cette passion est toujours présente mais il est très rare que j arrive à y passer plus d une journée par semaine en cumulé alors que je fais des semaines h pour un salaire plus que modeste aujourd hui j ai bien peu de satisfactions dans mon travail quotidien et je réfléchis très sérieusement à une reconversion car le métier ne me correspond plus et me fatigue grandement,1
15937555,métier très stimulant mais consommant trop de temps au détriment de la vie de famille,1
15937915,trop d administration trop de travail de secrétariat fait par des bac trop peu de retours sur le travail effectué le réseau est devenu la seule chose à optimiser pour tous les aspects la paye est devenue pitoyable ridicule nous allons terminer si ce n est pas déjà le cas dans la fourchette basse des classes moyennes avec un doctorat et un concours mcf plutôt sélectif,0
15938229,le système d enseignement supérieur et de la recherche publique ne donnent pas envie de continuer dans ce métier les perspectives sont sombres les contraintes du métier sont nombreuses e g mobilité avantentre les postes qui a un impact négatif sur la vie familiale surtout celle des femmes j ai l impression de passer ma vie à rédiger des projets ou des dossiers pour chaque primeavancementdélégationmutation la recherche devient une toute petite partie d activité pour un enseignant chercheur qui ne néglige pas ses obligations pédagogiques les collègues font le stricte minimum qui ne tiennent pas compte des étudiants etou refusent des responsabilités on les connaît tous hein donc la carrière académique c est un parcours de combattant afin d obtenir un holy grail le poste qui en réalité ne répond pas à la fiche alors il est difficile de conseiller ce métier au doctorants mais ils font la même conclusion tout seuls,0
15938894,le cout d entrée est trop élevé par rapport à l attractivité de l industrie les conditions de travail ne sont pas non plus attractives,1
15939307,de nombreuses tâches administratives freinent l investissement conséquent en matière d enseignement et de recherche,0
15939800,je vois des jeunes doctorants brillants rare sont ceux qui veulent encore etre mcf apres avoir cotoyer le milieu ans je pense que ce veux tout dire pour autant ca reste encore et toujours selon moi un métier fabuleux et je n en changerait pour rien au monde,0
15939937,aucune reconnaissance de l investissement en enseignement aussi bien en local qu au cnu salaire très inférieure au marché actuel et sans réel avantage,1
