SID,Commentaires éventuels (sur le formulaire ou sur votre situation personnelle),Note personnelle
15962774,mon ancienneté est de plus de ans ce qui m a permis de voir le métier se dégrader de manière spectaculaire,1
15964500,je suis dans un département eea d une université donc plutôt génie informatique que pur informatique,0
15967289,hdr en cours de rédaction,1
15967460,lieux d enseignement un sur le lieu de recherche l autre à mn,1
15968483,votre question structure et école d ingénieur me semble inadaptée pour le paysage grenoblois ensimag sans personnalité moral ce n est pas mon employeur in grenoble inp grand établissement mon employeur in univ grenoble alpes université expérimentale en transit vers grand établissement,0
15971034,non fonctionnaire cdi de la fonction publique pas de charge d enseignement fixe,1
15972257,laboratoire exclusivement en informatique mais dans une ufr où l informatique est peu valorisée malgré un apport conséquent de projets et d étudiants on est majoritairement en surservice avec en moyenne le double service,1
15972889,université très petite trop pour avoir des ufr seulement des départements personne sur mes thématiques en recherche nomination très récente tout à mettre en place,1
15974190,,1
15975227,la question nombre moyen d étudiants inscrits sur l ensemble de vos formations toutes années confondues n est pas très clair s agit il des cours que l on donne ou sur tout l établissement la question vous êtes rattaché e à il est possible d avoir plusieurs rattachement,1
15976160,manque de moyens en particulier d ec ce qui génère beaucoup d heures sup,0
15979103,g,1
15979713,le temps moyen entre les lieux d enseignement et de recherche est il une mesure suffisante j ai enseigné à h de mon lieu de recherche et aussi à minutes même si en moyenne j enseignais à moins de h voire nettement moins si l on pondérait la moyenne en comptant le nombre d heures passées à h et minutes respectivement il subsiste que j étais dans l obligation de me déplacer à h ce qui est caché par une moyenne,1
15979818,laboratoire non rattaché au cnrs,1
15981607,l implication administratives est malheureusement de plus en plus forte et de moins en moins reconnue,1
15983539,j ai été professeur certifié pendant ans dont ans détaché dans une école militaire délivrant un diplôme d ingénieur reconnu par l éducation nationale en même temps j ai bénéficié de la formation continue du personnel de la défense pour faire ma thèse en trois ans rien n a été retenu lors de mon reclassement en tant que maître de conférence j ai même perdu les mois d ancienneté du service militaire une collègue qui n a jamais réussi à avoir son capes a fait sa thèse avec une bourse du ministère elle a bénéficié d un bonus de deux lors de son reclassement en tant que maître de conférence,0
15992737,j espere que dans les autres questions de la page suivante il y en aura sur la partie administrative qui torpille notre activité d enseignant chercheur,0
15994886,la question nombre moyen d étudiants inscrits sur l ensemble de vos formations est ambiguë s agit il des formations de mon université mon ufr mon département de discipline celles dans lesquelles j enseigne j ai considéré que c était l ufr compte tenu de la question précédente,0
15999970,beaucoup de changements depuis nomination fusion université puis création institut informatique regroupant école ingénieur informatique et formation universitaire informatique et enfin création inp regroupant écoles d ing et formation informatique universitaire sans la licence mais délégue quand même à notre composante,1
16004099,seul dans un labo,1
16008206,salaire forfaitaire qui ne correspond pas au nombre d heures de travail effectuées heures payées par mois heures réellement effectuées,1
16040882,j ai indiqué ans pour l ancienneté dans mon poste en réalité je suis mcf depuis ans mais j ai muté cette année donc nouvelle université depuis an cependant je garde le même poste de mon point de vue,0
16071037,ras,0
16084393,je suis dans un laboratoire multi tutelles et membre d une tutelle secondaire le temps de transport n est pas nul pour me rendre dans les locaux de recherche de la tutelle principale mais nous avons de locaux de recherche de proximité,0
16098846,le break covid en distanciel m a fait prendre conscience de la possibilité de travailler plus efficacement et le plus souvent possible de chez moi,1
16104298,j enseigne dans un inspé capes math il y a de la nsisnt et c est tout,1
16109618,remarque sur le formulaire le nom de la ville allié aux questions rompt l anonymat des établissements d enseignement et de recherche,1
16163289,laboratoire rattaché principalement à l insis mais je ne dirais pas que c est un laboratoire majoritairement informatique,0
16373993,je suis professeur émérite,0
16375463,raisons pour lesquelles je n ai pas passé d hdr au départ beaucoup d enseignements dans des domaines qui changent tous les ans même si j ai toujours maintienu une activité de recherche soutenue a partir d un certain âge il n est plus envisageable de passer prof donc l hdr ne peut plus servir qu à encadrer je m entends bien avec une prof de l équipe et nous co encadrons ensemble le fait de ne pas avoir d hdr permet de rester un peu à l écart d un certain nombre de manigances politiques qui empêchent à mon sens de faire son travail correctement,1
16376232,le laboratoire est multi site et cela arrive de plus en plus fréquemment de devoir se déplacer d un site à l autre ce qui prend minutes,1
16376389,difficultés relatives à la localisation de tous les membres de mon équipe dans une autre université,1
16376397,potentiellement futur enseignant chercheur,0
16378365,jamais mcf cr inria ans puis pu,0
16382332,je ne suis pas sûre d avoir bien compris la question nombre moyen d étudiants inscrits sur l ensemble de vos formations toutes années confondues,1
16534360,maitre de conférence contractuel cdi de la fonction publique et non fonctionnaire,0
16539184,ras à part qu un enseignant chercheur compte tenu des lourdes tâches d évaluations récurrentes diverses et variées travaille bien plus de h par semaine n a pas de week end et n a que semaines de congés au mieux et pas entières en fait et qu à la fin c est épuisant ce qui est démoralisant c est un gouvernement qui parle de réindustrialisation de la france mais qui continue à affaiblir l enseignement supérieur et la recherche associée,0
16543253,l enseignement multi sites est usant aussi bien pour les enseignants que pour les etudiants je suis sur sites plus un site pour la recherche cela engendre une perte de temps qui engendre fatigue et stress et impacte la qualité de travail,1
16547402,labo d informatique de type ea,1
16548320,ras,0
16549659,tous les labos ne sont pas rattachés ins i ou insis,1
16557116,je n ai pas compris la question nombre moyen d étudiants inscrits sur l ensemble de vos formations toutes années confondues vos formations mon public dans mes cours celles que je gère celles auxquelles je participe en prenant un groupe ou un cours par exemple nombre moyen faire la moyenne entre une l et un m n a pas beaucoup de sens je doute que ce soit la question,0
16601339,,1
16630101,recherche vide de sens fonctionnement uniquement sur buzz word très peu de possibilités d évoultion,0
18130377,aucune perspective de promotion dans mon université j ai postulé à un repyramidage mais le résultat était annoncé officieusement avant l audition en on m avait expliqué que l univ soutiendrait le fait fortement suggéré de me rattacher ailleurs en recherche suite à la non reconnaissance d une équipe locale ce que j ai fait depuis je suis un paria pour les décisions en local e g repyramidage avis local b avis cnu a b pour des cas comme le mien il me semble important de ne pas donner les pleins pouvoirs localement à des universités ou de maintenir une voie ministérielle,0
