SID,Commentaires éventuels (sur le formulaire ou sur votre situation personnelle),Note personnel,Commentaires éventuels (sur le formulaire ou sur votre appréciation personnelle de l'enseignement),Note enseignement,Commentaires éventuels (sur le formulaire ou sur votre appréciation personnelle de la recherche),Note recherche,Pouvez-vous expliquer vos réponses merci ...,Note merci,Totalite des commentaires,Note total
15896653,,,"L'enseignement est de plus en plus difficile. J'ai des étudiants en 1ère année de BUT et j'ai trop souvent l'impression que je dois me battre pour qu'ils travaillent. J'ai passé des centaines d'heures à codes des exercices de programmation en ligne sur Moodle (à raison d'une heure par exercice), je n'ai pas l'impression que cela sera aussi valorisé que la recherche. ",-2.0,"Je fais ma recherche quasiment toute seule depuis que l'équipe à laquelle j'étais rattachée a été démantelée, après qu'une partie des membres de cette équipe aient créé une équipe commune INRIA.
J'arrive tout de même à garder une activité de recherche mais c'est difficile. Je suis de plus assez choquée que certains membres de cette nouvelle équipe commune, qui sont PU, encadrent des thèses entre pros et ne jouent plus leur rôle d'animateurs d'équipe. Quand on propose des sujets face à deux PU on passe forcément après. ",2.0,"Je n'ai aucun espoir de passer un jour PU, ni même d'avoir la classe exceptionnelle, à cause du temps que je passe en enseignement et en administratif qui pénalise forcément mon temps de recherche
",-2.0,"L'enseignement est de plus en plus difficile. J'ai des étudiants en 1ère année de BUT et j'ai trop souvent l'impression que je dois me battre pour qu'ils travaillent. J'ai passé des centaines d'heures à codes des exercices de programmation en ligne sur Moodle (à raison d'une heure par exercice), je n'ai pas l'impression que cela sera aussi valorisé que la recherche.  Je fais ma recherche quasiment toute seule depuis que l'équipe à laquelle j'étais rattachée a été démantelée, après qu'une partie des membres de cette équipe aient créé une équipe commune INRIA.
J'arrive tout de même à garder une activité de recherche mais c'est difficile. Je suis de plus assez choquée que certains membres de cette nouvelle équipe commune, qui sont PU, encadrent des thèses entre pros et ne jouent plus leur rôle d'animateurs d'équipe. Quand on propose des sujets face à deux PU on passe forcément après.  Je n'ai aucun espoir de passer un jour PU, ni même d'avoir la classe exceptionnelle, à cause du temps que je passe en enseignement et en administratif qui pénalise forcément mon temps de recherche
",-2
15898762,,,"Attention, pour être reconnu, l'investissement pédagogique doit être évalué, et pour être évalué positivement, il vaut mieux faire ce qui est à la mode, ce qui va à l'encontre de la liberté pédagogique. Dans notre université, on a plein de message pour faire des approches ""récentes"" alors qu'on manque cruellement d'enseignants (la moitié des heures faites par des non permanents avec des thésards responsables de gros modules et aussi une forte rotation). 
",0.0,Questionnement similaire à celui de Romain Couillet,0.0,intéressant oui mais j'ai l’impression qu'on devrait réserver l'informatique à des usages essentiel pour préserver l'environnement/climat et beaucoup de JC se posent les mêmes questions. Difficile de faire de l'informatique (et en particulier de l'IA) en accord avec ses convictions.,0.0,"Attention, pour être reconnu, l'investissement pédagogique doit être évalué, et pour être évalué positivement, il vaut mieux faire ce qui est à la mode, ce qui va à l'encontre de la liberté pédagogique. Dans notre université, on a plein de message pour faire des approches ""récentes"" alors qu'on manque cruellement d'enseignants (la moitié des heures faites par des non permanents avec des thésards responsables de gros modules et aussi une forte rotation). 
 Questionnement similaire à celui de Romain Couillet intéressant oui mais j'ai l’impression qu'on devrait réserver l'informatique à des usages essentiel pour préserver l'environnement/climat et beaucoup de JC se posent les mêmes questions. Difficile de faire de l'informatique (et en particulier de l'IA) en accord avec ses convictions.",0
15900109,,,"Ce n'est pas qu'un probleme de nb d'heures mais il faudrait également noté que comme les EC sont affectés à des composantes, il est difficile pour les EC d'IUT d'enseigner en Master => encore plus difficile de se faire connaitre ou faire connaitre sa discipline de recherche auprés des potentiels étudiants désireux de faire une thèse ... ",0.0,L'administration n'est plus une aide mais un controle ! donc beaucoup moins de temps de faire de la recherche ,1.0,"Vu l'investissement, la reconnaissance et les taches administratives ingrates qui pourrissent notre temps de recherche et le salaire, je ne recommande pas ce métier ",0.0,"Ce n'est pas qu'un probleme de nb d'heures mais il faudrait également noté que comme les EC sont affectés à des composantes, il est difficile pour les EC d'IUT d'enseigner en Master => encore plus difficile de se faire connaitre ou faire connaitre sa discipline de recherche auprés des potentiels étudiants désireux de faire une thèse ...  L'administration n'est plus une aide mais un controle ! donc beaucoup moins de temps de faire de la recherche  Vu l'investissement, la reconnaissance et les taches administratives ingrates qui pourrissent notre temps de recherche et le salaire, je ne recommande pas ce métier ",1
15902841,,,"je bénéficie d'une décharge financer sur projet anr jcjc (4 ans)
habituellement j'ai un service complet avec entre 30 et 80 heures complémentaires",2.0,,,"En informatique, l'offre en r&d industriel, y compris avec des possibilités de vacations à l'université, est une alternative intéressante, tant pour les conditions de travail, pour le salaire, que pour l'absence de charge administrative. 
Le seul ""désavantage"" que je vois dans cette alternative est la non participation à la politique de l'enseignement (et encore avec les conseils de perfectionnement ...)",-1.0,"je bénéficie d'une décharge financer sur projet anr jcjc (4 ans)
habituellement j'ai un service complet avec entre 30 et 80 heures complémentaires En informatique, l'offre en r&d industriel, y compris avec des possibilités de vacations à l'université, est une alternative intéressante, tant pour les conditions de travail, pour le salaire, que pour l'absence de charge administrative. 
Le seul ""désavantage"" que je vois dans cette alternative est la non participation à la politique de l'enseignement (et encore avec les conseils de perfectionnement ...)",1
15903256,,,"Appréciation personnelle : aucune option ne me convient. Je ne souhaite pas arrêter, je ne suis pas sûre d'aimer autant qu'avant, j'aimerais juste qu'on nous donne les moyens de faire... et aussi avoir des étudiants qui sont là parce qu'ils ont vu de la lumière...
La reconnaissance a l'air de s'améliorer avec la RIPEC ?",-2.0,"Trop d'investissement en enseignement (car d'autres ne font pas, la recherche rapportant plus) donc peu de temps pour la recherche, donc moins de possibilité de raccrocher donc je ne pense pas que je raccrocherai si le côté enseignement s'améliore.

Questionnaire : Responsabilité local  => de quel ""local"" ?  Le questionnaire a quand même beaucoup de typos...
Et parfois, ce n'est plus des typos : que dois-je comprendre par ""personne d'autre ne voulez le faire"" ou "" auriez voulu assurées "" ?
Ou bien comment dois-je évaluer ma réponse à ""En avez-vous beaucoup ? "" en termes de ""Très dégradées/défavorables/... ("" ?
",-2.0,"Il faut être fou ou super motivé pour devenir MCF de nos jours : paye minable p/r au nombre d'études même après des années d'ancienneté, difficulté à ne pas travailler durant ses soirées, ses week-end et ses vacances, étudiants non motivés, peu de moyens de les motiver (financiers ou autres), encadrement en sous effectif, nécessité de pallier les manques de l'université...
Je peux continuer un moment comme cela.
Mieux vaut être ingénieur bien payé dans une boîte qui propose des avantages et, au final, plus de RTT que nous n'avons de vrais congés... ",-2.0,"Appréciation personnelle : aucune option ne me convient. Je ne souhaite pas arrêter, je ne suis pas sûre d'aimer autant qu'avant, j'aimerais juste qu'on nous donne les moyens de faire... et aussi avoir des étudiants qui sont là parce qu'ils ont vu de la lumière...
La reconnaissance a l'air de s'améliorer avec la RIPEC ? Trop d'investissement en enseignement (car d'autres ne font pas, la recherche rapportant plus) donc peu de temps pour la recherche, donc moins de possibilité de raccrocher donc je ne pense pas que je raccrocherai si le côté enseignement s'améliore.

Questionnaire : Responsabilité local  => de quel ""local"" ?  Le questionnaire a quand même beaucoup de typos...
Et parfois, ce n'est plus des typos : que dois-je comprendre par ""personne d'autre ne voulez le faire"" ou "" auriez voulu assurées "" ?
Ou bien comment dois-je évaluer ma réponse à ""En avez-vous beaucoup ? "" en termes de ""Très dégradées/défavorables/... ("" ?
 Il faut être fou ou super motivé pour devenir MCF de nos jours : paye minable p/r au nombre d'études même après des années d'ancienneté, difficulté à ne pas travailler durant ses soirées, ses week-end et ses vacances, étudiants non motivés, peu de moyens de les motiver (financiers ou autres), encadrement en sous effectif, nécessité de pallier les manques de l'université...
Je peux continuer un moment comme cela.
Mieux vaut être ingénieur bien payé dans une boîte qui propose des avantages et, au final, plus de RTT que nous n'avons de vrais congés... ",-6
15904144,,,"J'aime toujours enseigner mais un simple service (sans *aucune* heure complémentaire) permettrait de faire mon travail correctement (ce qui n'est pas le cas).

Mes conditions personnelles (700km entre mon lieu de travail et mon domicile sans réussite de mutation depuis 12 ans) m'ont épuisées et m'enlève l'envie de rester dans le monde académique.",1.0,Il manque des choix dans la question précédente : j'aimerai bien pouvoir reprendre une activité de recherche mais les conditions actuelles (personnelles et institutionnelles) ne me le permettent pas correctement.,0.0,"Pas sûr d'avoir bien compris les échelles j'ai considéré 0 = pas bien et 5 = bien.
",-2.0,"J'aime toujours enseigner mais un simple service (sans *aucune* heure complémentaire) permettrait de faire mon travail correctement (ce qui n'est pas le cas).

Mes conditions personnelles (700km entre mon lieu de travail et mon domicile sans réussite de mutation depuis 12 ans) m'ont épuisées et m'enlève l'envie de rester dans le monde académique. Il manque des choix dans la question précédente : j'aimerai bien pouvoir reprendre une activité de recherche mais les conditions actuelles (personnelles et institutionnelles) ne me le permettent pas correctement. Pas sûr d'avoir bien compris les échelles j'ai considéré 0 = pas bien et 5 = bien.
",-1
15906431,,,"La réforme du BUT a été absurde et chaotique dans ses lignes directrices (prima de la notion de compétence sur les questions pédagogiques et les questions d'organisation pédagogique), absurde et chaotique dans sa forme (l'arrêté LP-BUT et les programmes des spécialités de BUT sont des usines à gaz d'un niveau de complexité et d'illisibilité rarement atteints), absurde et chaotique dans sa gestion par le ministère (le programmes des spécialités de BUT ont été réalisé par étapes successives, chaque étape bloquant les décisions des étapes suivantes, alors que nous n'avions aucune visibilité sur les conséquence des choix réalisés à chaque étape... avec pour conséquence inévitable des programmes mal fichus).
La réforme du BUT a gravement dégradé les conditions de travail dans les IUT : plus de travail d'encadrement pour moins d'heures devant étudiants (donc plus de travail pour moins de rémunération) ; BUT3 devant être mis en place à moyens constants (donc par des équipes n'ayant pas les forces pour gérer cette année supplémentaire).
La réforme du BUT a gravement dégradé la cohésion nationale des IUT, qui pourtant fait tout leur intérêt et toute leur force (pourcentage d'adaptation locale trop important, programmes tellement illisibles et mal fichus que chaque département est obligé de se créer localement sa propre interprétation divergente).
La réforme du BUT a gravement dégradé la motivation des équipes (sentiment de perte de sens, et de affaiblissement du cadre de cohésion nationale des IUT auquel les équipes sont très attachées).",-14.0,,,"J'ai pu passer facilement MCF HC : mon investissement au niveau local et national dans le système IUT a été reconnu.
Enseigner reste un beau métier. 
Les IUT restent un bel endroit où enseigner, mais la réforme bureaucratiquement et idéologiquement menée du BUT a dégradé les conditions de travail et engendré une perte de sens.",-4.0,"La réforme du BUT a été absurde et chaotique dans ses lignes directrices (prima de la notion de compétence sur les questions pédagogiques et les questions d'organisation pédagogique), absurde et chaotique dans sa forme (l'arrêté LP-BUT et les programmes des spécialités de BUT sont des usines à gaz d'un niveau de complexité et d'illisibilité rarement atteints), absurde et chaotique dans sa gestion par le ministère (le programmes des spécialités de BUT ont été réalisé par étapes successives, chaque étape bloquant les décisions des étapes suivantes, alors que nous n'avions aucune visibilité sur les conséquence des choix réalisés à chaque étape... avec pour conséquence inévitable des programmes mal fichus).
La réforme du BUT a gravement dégradé les conditions de travail dans les IUT : plus de travail d'encadrement pour moins d'heures devant étudiants (donc plus de travail pour moins de rémunération) ; BUT3 devant être mis en place à moyens constants (donc par des équipes n'ayant pas les forces pour gérer cette année supplémentaire).
La réforme du BUT a gravement dégradé la cohésion nationale des IUT, qui pourtant fait tout leur intérêt et toute leur force (pourcentage d'adaptation locale trop important, programmes tellement illisibles et mal fichus que chaque département est obligé de se créer localement sa propre interprétation divergente).
La réforme du BUT a gravement dégradé la motivation des équipes (sentiment de perte de sens, et de affaiblissement du cadre de cohésion nationale des IUT auquel les équipes sont très attachées). J'ai pu passer facilement MCF HC : mon investissement au niveau local et national dans le système IUT a été reconnu.
Enseigner reste un beau métier. 
Les IUT restent un bel endroit où enseigner, mais la réforme bureaucratiquement et idéologiquement menée du BUT a dégradé les conditions de travail et engendré une perte de sens.",-18
15906767,,,Je suis en délégation CNRS pour fonctions institutionnelles à mi-temps d'où la décharge de service de 96h et le nombre important de mois de délégation.,-1.0,,,"La répartition idéale n'est pas claire et devrait certainement évoluer au cours de la carrière.
Depuis de nombreuses années j'ai eu des responsabilités lourdes en enseignement, en recherche, et en administration de la recherche. Même si cela me demande un investissment, en particulier en temps, important, ces activités sont particulièrement enrichissantes. La diversité des aspects du métier, avec la liberté (quand on est dans un environnement propice) d'orienter ses activités, est pour moi un atout majeur du métier.",-1.0,"Je suis en délégation CNRS pour fonctions institutionnelles à mi-temps d'où la décharge de service de 96h et le nombre important de mois de délégation. La répartition idéale n'est pas claire et devrait certainement évoluer au cours de la carrière.
Depuis de nombreuses années j'ai eu des responsabilités lourdes en enseignement, en recherche, et en administration de la recherche. Même si cela me demande un investissment, en particulier en temps, important, ces activités sont particulièrement enrichissantes. La diversité des aspects du métier, avec la liberté (quand on est dans un environnement propice) d'orienter ses activités, est pour moi un atout majeur du métier.",-2
15907948,,,j'aimerais ne plus avoir à faire des heures complémentaires.,0.0,,,"Enseignant chercheur est un super métier.
Mais je pense qu'on n'apprend plus aux jeunes à aimer la difficulté.
j'observe une dérive vers des recherches ""molles"", pluri-disciplinaires, superficielles, répondant plus à des défis sociétaux qu'à des défis scientifiques durs.",0.0,"j'aimerais ne plus avoir à faire des heures complémentaires. Enseignant chercheur est un super métier.
Mais je pense qu'on n'apprend plus aux jeunes à aimer la difficulté.
j'observe une dérive vers des recherches ""molles"", pluri-disciplinaires, superficielles, répondant plus à des défis sociétaux qu'à des défis scientifiques durs.",0
15923772,,,"Malgré de très bonnes conditions perte de l'envie d'enseigner, aucun soutien de la part des différentes directions (recherche, formation), tensions entre les services

Système d'information qui se dégrade, aucun support informatique pour la pédagogie

On constate même un retour en arrière sur de nombreux aspects (notamment sur les systèmes d'infos)",-1.0,,,"Questionnaire trop long ! Il aurait fallu laisser la place au qualitatif (texte) comme ici

Globalement l'établissement ne concerte pas lors de l'évolution, les EC sont à la fois là pour enseigner mais aussi mettre en place des politiques déjà décidées et mal ficelées

L'établissement n'exploite pas du tout le potentiel des ECs qui pourraient aider à ne pas faire des erreurs stratégiques des établisssments sur par exemple la nature ou volume des nouvelles formations

Aucune perspective d'évolution aussi en général",-4.0,"Malgré de très bonnes conditions perte de l'envie d'enseigner, aucun soutien de la part des différentes directions (recherche, formation), tensions entre les services

Système d'information qui se dégrade, aucun support informatique pour la pédagogie

On constate même un retour en arrière sur de nombreux aspects (notamment sur les systèmes d'infos) Questionnaire trop long ! Il aurait fallu laisser la place au qualitatif (texte) comme ici

Globalement l'établissement ne concerte pas lors de l'évolution, les EC sont à la fois là pour enseigner mais aussi mettre en place des politiques déjà décidées et mal ficelées

L'établissement n'exploite pas du tout le potentiel des ECs qui pourraient aider à ne pas faire des erreurs stratégiques des établisssments sur par exemple la nature ou volume des nouvelles formations

Aucune perspective d'évolution aussi en général",-5
15924028,,,"L'impression générale est que l'investissement dans l'enseignement est à perte d'un point de vue évolution de carrière.
Toute expérimentation dans l'innovation pédagogique se heurte à une incompréhension (voire incompétence) des responsables de notre DSI/Université",-1.0,Le temps consacré à la recherche est fortement réduit par les temps administratifs à y consacrer (je ne compte pas ça comme de la recherche : la recherche de financement n'étant pas de la recherche...),0.0,"Aujourd'hui, le meilleur moyen de recrutement reste les LRU... du temporaire qui reste une vaste blague qui détériore les équipes/services/départements.
Les moyens sont de plus en plus concentrés vers un très petit nombre de personnes. Cela crée un malaise général qui est destructeur
Il m'est difficile de conseiller ce métier à un doctorant vu la très faible probabilité de recrutement sur un poste qui lui permettrait de s'épanouir.",1.0,"L'impression générale est que l'investissement dans l'enseignement est à perte d'un point de vue évolution de carrière.
Toute expérimentation dans l'innovation pédagogique se heurte à une incompréhension (voire incompétence) des responsables de notre DSI/Université Le temps consacré à la recherche est fortement réduit par les temps administratifs à y consacrer (je ne compte pas ça comme de la recherche : la recherche de financement n'étant pas de la recherche...) Aujourd'hui, le meilleur moyen de recrutement reste les LRU... du temporaire qui reste une vaste blague qui détériore les équipes/services/départements.
Les moyens sont de plus en plus concentrés vers un très petit nombre de personnes. Cela crée un malaise général qui est destructeur
Il m'est difficile de conseiller ce métier à un doctorant vu la très faible probabilité de recrutement sur un poste qui lui permettrait de s'épanouir.",0
15924584,,,"Dommage que ""j'aime enseigné"" soit incompatible avec ""je conseille à quiconque..."" (comme si l'idée initiale était d'avoir ""je déconseille..."").",0.0,,,"Je reste convaincu que c'est le plus beau métier du monde et je le conseille à tou(te)s, mais l'état continu de le rendre non-attractif (la meilleure preuve en est le niveau général des candidats) par les contraintes qui sont imposées (trouver ses financements, réaliser des tâches de secrétariat, empêcher de voyager pour des raisons écologiques, etc.)",0.0,"Dommage que ""j'aime enseigné"" soit incompatible avec ""je conseille à quiconque..."" (comme si l'idée initiale était d'avoir ""je déconseille...""). Je reste convaincu que c'est le plus beau métier du monde et je le conseille à tou(te)s, mais l'état continu de le rendre non-attractif (la meilleure preuve en est le niveau général des candidats) par les contraintes qui sont imposées (trouver ses financements, réaliser des tâches de secrétariat, empêcher de voyager pour des raisons écologiques, etc.)",0
15924853,,,"Les taches administratives se sont multipliées au cours des années, les lourdeurs des processus administratifs ont été décuplés, le dictat des RH, des services financiers, des régulations européennes et des lois sur le travail, les contrôles et évaluation multipliés à tout les niveaux, ont rendu la vie de l'enseignant que je suis un véritable calvaire !
Les vacataires indispensables pour compléter nos besoins en enseignements partent les uns après les autres car il attendent des mois (voir des années !) avant que leur travail ne soit payé, et pour un salaire de misère. Les lois, réglementations, restrictions divers et variés sur le travail, impossibles à connaitre toutes car en perpétuels changements,  rendent leur recrutement une tache à plein temps. Pour 1h enseigné, ces sont des JOURS de travail qui incombent aux responsables de formation et de filière pour arriver tant bien que mal à boucher les trous. Et tout recommence l'année suivante quand ils découvrent qu'ils doivent attendre 6 mois pour percevoir un dédommagement ridicule (ce serait indécent de parler de salaire) et qu'ils abandonnent. 
Il est devenu quasiment impossible d'enseigner, une part grandissante de mon temps est consacré à ces taches et m'écartent complètement de ma mission d'enseignement. 
Quand à la recherche, on en parle plus, il a fallu faire une croix dessus, c'est terminé !
L'hyperadministrativité est la règle à tout les niveaux et partout, et ça aboutira à la destruction de ce qui reste du système éducatif et universitaire Français, déjà très largement engagée il y a de nombreuses années. 
",1.0,,,"Ce que je suis contraint de faire ne m'intéresse plus. Mais c'est intéressant pour un jeune car il aura moins de responsabilité et plus de temps pour la recherche, les projets et les enseignements. Certains savent exploiter le système et manœuvrent très malignement pour ne pas avoir beaucoup de responsabilités.  Les taches pénibles retombent sur les ""bonnes volontés"" des consciencieux qui se sentent investis de la volonté de faire fonctionner (un peu) le système. Dommage que ceux là se heurtent à une muraille de chine administrative...
",0.0,"Les taches administratives se sont multipliées au cours des années, les lourdeurs des processus administratifs ont été décuplés, le dictat des RH, des services financiers, des régulations européennes et des lois sur le travail, les contrôles et évaluation multipliés à tout les niveaux, ont rendu la vie de l'enseignant que je suis un véritable calvaire !
Les vacataires indispensables pour compléter nos besoins en enseignements partent les uns après les autres car il attendent des mois (voir des années !) avant que leur travail ne soit payé, et pour un salaire de misère. Les lois, réglementations, restrictions divers et variés sur le travail, impossibles à connaitre toutes car en perpétuels changements,  rendent leur recrutement une tache à plein temps. Pour 1h enseigné, ces sont des JOURS de travail qui incombent aux responsables de formation et de filière pour arriver tant bien que mal à boucher les trous. Et tout recommence l'année suivante quand ils découvrent qu'ils doivent attendre 6 mois pour percevoir un dédommagement ridicule (ce serait indécent de parler de salaire) et qu'ils abandonnent. 
Il est devenu quasiment impossible d'enseigner, une part grandissante de mon temps est consacré à ces taches et m'écartent complètement de ma mission d'enseignement. 
Quand à la recherche, on en parle plus, il a fallu faire une croix dessus, c'est terminé !
L'hyperadministrativité est la règle à tout les niveaux et partout, et ça aboutira à la destruction de ce qui reste du système éducatif et universitaire Français, déjà très largement engagée il y a de nombreuses années. 
 Ce que je suis contraint de faire ne m'intéresse plus. Mais c'est intéressant pour un jeune car il aura moins de responsabilité et plus de temps pour la recherche, les projets et les enseignements. Certains savent exploiter le système et manœuvrent très malignement pour ne pas avoir beaucoup de responsabilités.  Les taches pénibles retombent sur les ""bonnes volontés"" des consciencieux qui se sentent investis de la volonté de faire fonctionner (un peu) le système. Dommage que ceux là se heurtent à une muraille de chine administrative...
",1
15927297,,,"Il faut prendre des responsabilités (ce sont toujours les mêmes personnes qui sont sollicitées) mais quand on veut ""monter en grade"" il nous est reproché de ne pas avoir un dossier Recherche digne d'un DR....",0.0,"Avec les responsabilités pédagogiques/administratives, il est difficile de tout faire",0.0,"Déprimant... (0 évolution, 0 reconnaissance (sauf si vous êtes un cador en Recherche), ...)",0.0,"Il faut prendre des responsabilités (ce sont toujours les mêmes personnes qui sont sollicitées) mais quand on veut ""monter en grade"" il nous est reproché de ne pas avoir un dossier Recherche digne d'un DR.... Avec les responsabilités pédagogiques/administratives, il est difficile de tout faire Déprimant... (0 évolution, 0 reconnaissance (sauf si vous êtes un cador en Recherche), ...)",0
15927511,,,"Les relations élèves/enseignants ont changées, les élèves étant plus consommateurs d'une prestation de service.  L'évaluation des enseignements poussée par la CTI et la direction des écoles pousse également dans cette voie. Des élèves ayant des difficultés ou des remarques sur un enseignement, ont tendance à ne plus en parler avec l'enseignant concerné mais à attendre les évaluations des enseignements ou à en référer au directeur de département sans essayer au préalable un dialogue avec l'enseignant. Cette déresponsabilisation de l'enseignant induit en retour une baisse de motivation de ce dernier. ",2.0,"L'équipe système est celle de l'université qui nous impose le système de l'université sans jamais se préoccuper des besoins du laboratoire.  Les moyens pérennes sont très faibles au moins en termes de ressources humaines.  Outre le montage de dossier, c'est ajouté ces derniers temps le temps nécessaire pour obtenir des moyens de calculs afin de réaliser les projets. Cela induit également des rapports à rédiger, des appels auxquels il faut répondre,.....
 ",1.0,"Mon fils veut faire un thèse. J'ai dis OK à condition de ne pas finir enseignant-chercheur.  
",-1.0,"Les relations élèves/enseignants ont changées, les élèves étant plus consommateurs d'une prestation de service.  L'évaluation des enseignements poussée par la CTI et la direction des écoles pousse également dans cette voie. Des élèves ayant des difficultés ou des remarques sur un enseignement, ont tendance à ne plus en parler avec l'enseignant concerné mais à attendre les évaluations des enseignements ou à en référer au directeur de département sans essayer au préalable un dialogue avec l'enseignant. Cette déresponsabilisation de l'enseignant induit en retour une baisse de motivation de ce dernier.  L'équipe système est celle de l'université qui nous impose le système de l'université sans jamais se préoccuper des besoins du laboratoire.  Les moyens pérennes sont très faibles au moins en termes de ressources humaines.  Outre le montage de dossier, c'est ajouté ces derniers temps le temps nécessaire pour obtenir des moyens de calculs afin de réaliser les projets. Cela induit également des rapports à rédiger, des appels auxquels il faut répondre,.....
  Mon fils veut faire un thèse. J'ai dis OK à condition de ne pas finir enseignant-chercheur.  
",2
15927660,,,J'aime enseigner mais je sais que mon investissement en enseignement se fait au détriment de ma carrière et de mon investissement en recherche ...,1.0,"A force de passer beaucoup de temps pour les enseignements, j'ai du mal à avancer correctement en recherche et je me démotive",0.0,J'hésite à proposer un sujet de thèse à un.e doctorant.e compte-tenues des perspectives de carrière dans l'ENS.,0.0,"J'aime enseigner mais je sais que mon investissement en enseignement se fait au détriment de ma carrière et de mon investissement en recherche ... A force de passer beaucoup de temps pour les enseignements, j'ai du mal à avancer correctement en recherche et je me démotive J'hésite à proposer un sujet de thèse à un.e doctorant.e compte-tenues des perspectives de carrière dans l'ENS.",1
15928334,,,J'aime encore enseigner mais j'aime encore plus la recherche. ,0.0,"J'aime la recherche. Le gros problème, c'est que le temps que je peux y consacrer se réduit d'année en année, à cause des autres contraintes qui prennent le dessus. Il n'y a aucun garde fou pour sauvegarder cette partie de notre métier. ",-2.0,"Le métier reste passionant mais avec de plus en plus de contraintes qui le rendent difficile, stressant, avec des soirées tardives à bosser et ça, c'est devenu notre quotidien. Au regard de nos rémunérations et du niveau de notre travail, c'est tout à fait anormal. ",0.0,"J'aime encore enseigner mais j'aime encore plus la recherche.  J'aime la recherche. Le gros problème, c'est que le temps que je peux y consacrer se réduit d'année en année, à cause des autres contraintes qui prennent le dessus. Il n'y a aucun garde fou pour sauvegarder cette partie de notre métier.  Le métier reste passionant mais avec de plus en plus de contraintes qui le rendent difficile, stressant, avec des soirées tardives à bosser et ça, c'est devenu notre quotidien. Au regard de nos rémunérations et du niveau de notre travail, c'est tout à fait anormal. ",-2
15929327,,,"Mon engagement décroit d'année en année, les charges administratives liées aux formations prennent tellement de place que cela instaure un dégoût global du métier avec cette petites phrase qui revient souvent ""mais ce n'est pas pour ça que j'ai signé""",-1.0,"J'aime la recherche, mais cela devient impossible dans ma situation d'en faire encore de qualité et cela me déprime. ",0.0,"L'ambiance, le manque de reconnaissance, les charges administrative, le sexisme, la précarité ambiante et le manque de temps pour faire de la recherche m'ont dégoutée du métier",1.0,"Mon engagement décroit d'année en année, les charges administratives liées aux formations prennent tellement de place que cela instaure un dégoût global du métier avec cette petites phrase qui revient souvent ""mais ce n'est pas pour ça que j'ai signé"" J'aime la recherche, mais cela devient impossible dans ma situation d'en faire encore de qualité et cela me déprime.  L'ambiance, le manque de reconnaissance, les charges administrative, le sexisme, la précarité ambiante et le manque de temps pour faire de la recherche m'ont dégoutée du métier",0
15936036,,,Je n'ai que 90h d' enseignement en plus de ma position Inria.,0.0,,,"La dichotomie industrie/recherche est moins forte qu'avant: on peut faire de la vrai recherche maintenant dans l'industrie. Du coup, il y a plus de possibilités après une thèse.",1.0,"Je n'ai que 90h d' enseignement en plus de ma position Inria. La dichotomie industrie/recherche est moins forte qu'avant: on peut faire de la vrai recherche maintenant dans l'industrie. Du coup, il y a plus de possibilités après une thèse.",1
15936522,,,"Les équipes administratives et techniques se réduisent d'année en année, reportant une partie de la charge sur les enseignants-chercheurs.",0.0,"La recherche est captivante, la recherche de financements l'est moins, surtout en temps contraint en étant enseignant-chercheur",2.0,"J'aime encore mon métier, dans toutes ses facettes (enseignement, recherche, investissement administratif). Est-ce que je le conseillerai à un jeune ? Idéologiquement, oui, c'est un beau métier. Si par contre on veut être un peu pragmatique, le ticket d'entrée (être recruté et progresser dans le métier) est cher et les salaires ne sont pas fantastiques, surtout en début de carrière. Avec des financements plus récurrents et moins sur projet et moins de pression, ce serait top ! Un point non abordé dans ce questionnaire est aussi notre statut en terme de congés. Ne pas poser de congés est une liberté mais nos collègues de instituts (Inria par exemple) soumis à congés au final profitent beaucoup plus des congés que les E/C, qui pour moi payent trop cher leur liberté et n'exercent pas assez leur droit à la déconnexion.",-6.0,"Les équipes administratives et techniques se réduisent d'année en année, reportant une partie de la charge sur les enseignants-chercheurs. La recherche est captivante, la recherche de financements l'est moins, surtout en temps contraint en étant enseignant-chercheur J'aime encore mon métier, dans toutes ses facettes (enseignement, recherche, investissement administratif). Est-ce que je le conseillerai à un jeune ? Idéologiquement, oui, c'est un beau métier. Si par contre on veut être un peu pragmatique, le ticket d'entrée (être recruté et progresser dans le métier) est cher et les salaires ne sont pas fantastiques, surtout en début de carrière. Avec des financements plus récurrents et moins sur projet et moins de pression, ce serait top ! Un point non abordé dans ce questionnaire est aussi notre statut en terme de congés. Ne pas poser de congés est une liberté mais nos collègues de instituts (Inria par exemple) soumis à congés au final profitent beaucoup plus des congés que les E/C, qui pour moi payent trop cher leur liberté et n'exercent pas assez leur droit à la déconnexion.",-4
