"Séquentiel","SID","Heure de soumission","Heure de complétion","Heure de modification","Brouillon","Adresse IP","UID","Nom d'utilisateur","1 - Vous êtes ? ","Votre statut :","Votre ancienneté dans la profession d'enseignant/chercheur (permanent ou non)","Autre statut :","Ancienneté de nomination sur votre premier poste (MCF, PU ou assimilé)","Obtention de l'HDR","Ancienneté de nomination sur votre poste actuel (MCF, PU ou assimilé)","Type de votre établissement","Autre établissement : ","Ville ","Vous êtes rattaché.e à :","Formation en informatique","Formation à forte composante informatique","Autres formations","Vous êtes membre d'un laboratoire","Au total","En Informatique","Distance en temps pour transiter de votre lieu d'enseignement à celui de la recherche","Commentaires éventuels (sur le formulaire ou sur votre situation personnelle)","Faites vous des heures complémentaires ?","Vous les faîtes majoritairement","cette année","ces cinq dernières années","Si vous avez une décharge d'enseignement, à combien se monte-elle en heures en moyenne par an  ","Combien de mois d'aménagement de temps (CRCT, délégation....) avez-vous obtenus ces dix dernières années","Quantité d'étudiants (TD/TP)","Quantité d'heures d'enseignement","Etat général des locaux et matériels","Equilibre volume CM/TD/TP","Organisation (rythme, doublons, horaires...) des enseignements","Relation avec les étudiants","Equipe pédagogique (relations, nombre...)","Equipe technique  (relations, nombre, support, ...)","Equipe administrative  (relations, nombre, support, ...)","Evaluation de vos enseignements","Charges administratives (volume, complexité...)","Responsabilités pédagogiques (UE, Année...)","Responsabilité de filière","Pensez-vous qu'il soit reconnu intitutionnellement ?","Appréciation personnelle sur l'enseignement","Commentaires éventuels (sur le formulaire ou sur votre appréciation personnelle de l'enseignement)","Quantité de doctorants/stagiaires/... ces 5 dernières années contribuant à votre recherche","Nbe d'heures de recherche disponibles","Etat général des locaux et matériels","Moyens financiers pérennes","Moyens financiers issus de projets","Equilbre montage de projet/réalisation concrète de projets","Ratio temps montage / taux de succès aux appels nationaux","Ratio temps montage / taux de succès aux appels internationaux","Retio temps montage-discussion / taux de succès aux contrats industriels","Equipe de recherche (relations, nombre...)","Equipe technique (relations, nombre, support, ...)","Equipe administrative  (relations, nombre, support, ...)","Charges administratives (projet, ..)","Animation (séminaire, médiatisation...)","Responsabilités locales (équipes, laboratoire...)","Responsabilités nationales ou internationales","Appréciation personnelle sur la recherche","Commentaires éventuels (sur le formulaire ou sur votre appréciation personnelle de la recherche)","Avez-vous des charges administratives ?","Resp. administratives","Resp. pédagogiques","Resp. électives (Conseils de composantes, de laboratoire, ...)","Autres","J'apprécie mes charges/activités administratives","J'ai  beaucoup de charges administratives","Je ne les ai pas vraiment ""choisies"" (elles m'ont été imposées / je les ai acceptées parce que personne ne voulait les prendre en charge)","Il y a des charges administratives que j'aurais voulu assurer mais que je n'ai pas pu obtenir","Certains  de mes collègues se défilent trop souvent à accepter ces charges","Mes responsabilités administratives sont bien prises en compte lors de l'évaluation de mon dossier RIPEC","Mes charges/activités administratives influent positivement sur le déroulement de ma carrière","Les moyens financiers pérennes nécessaires à ces activités sont suffisants","Les équipe administratives et/ou techniques nécessaires à ces activités sont suffisantes","J'ai assez d'automie dans ces activités","Quel serait pour vous, la répartition ""idéale"" entre Enseignement/Rech/Adm (donnez votre réponse sous la forme d'un ratio E/R/A - Ex. 45/45/10)","Pensez-vous avoir de bonnes chances d'avoir la RIPEC3 ?","Pensez-vous avoir de bonnes chances de progresser dans votre carrière (changement de grade, de classe... ?","Finalement trouvez vous ce métier encore intéressant ?","Pensez-vous qu'il est attirant pour de jeunes chercheurs ?","Le conseilleriez-vous à un futur docteur en Informatique ?","Pouvez-vous expliquer vos réponses merci ..."
"11","15897993","4/7/2023 14:31","4/7/2023 14:31","4/7/2023 14:31","0","0.0.0.0","0","Anonymous","Un homme","Professeur des Universités","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","un département d'informatique d'IUT","50 - 100","","","majoritairement informatique (rattaché INS2I ou INSIS)",">300",">300","60","Temps moyen hors période bouchon","Oui","Par nécessité de service","<50","<50","0","0","5","4","4","3","5","4","5","1","0","NC","3","3","3","0","J'aime toujours enseigner","A ma connaissance, mon enseignement n'est pas évalué.","3","5","5","5","0","3","3","3","3","5","4","4","0","0","0","0","J'aime toujours faire de la recherche","Auparavant au CEA (R&D)
Migration Université pour faire + de recherche et enseignement (interdit par hiérarchie du CEA)
Mis au placard des l'arrivée à l'Université (pas de responsabilité -> pas de promotion)
Retour en arrière pas possible","Non","","<5","","","2","1","4","0","4","NC","0","NC","2","5","2/2/1","Non","Non","5","2","3","Profession en perte de considération dans la société.
Conditions de travail en régression régulière.
Un futur docteur est déjà engagé dans le processus, donc s'il a fait ce choix, pas de raison de le dissuader."
"12","15898332","4/7/2023 14:45","4/7/2023 14:45","4/7/2023 14:45","0","0.0.0.0","0","Anonymous","Un homme","Professeur des Universités","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","une UFR avec une composante en informatique","151 - 200","151 - 200","","majoritairement informatique (rattaché INS2I ou INSIS)","50 - 100","50 - 100","0","","Non","","","","96","0","4","5","4","4","2","4","4","4","4","NSPP","NSPP","NC","NC","3","J'aime toujours enseigner mais un demi service me suffirait","","3","5","5","4","5","","4","4","NSPP","4","4","4","2","NSPP","4","3","J'aime toujours faire de la recherche","","Oui",">15","","","","3","5","4","1","5","NSPP","5","1","2","1","30/60/10","Oui","Je ne suis pas ou plus concerné","3","2","1","J'aime encore beaucoup mon métier. Néanmoins, les conditions d'exercice se sont beaucoup dégradées (processus administratifs trop nombreux et inutilement compliqués, trop de temps passé à monter/évaluer des projets au détriment des tâches essentielles : créer de nouveaux savoirs, transmettre des savoirs)."
"13","15898367","4/7/2023 14:46","4/7/2023 14:46","4/7/2023 14:46","0","0.0.0.0","0","Anonymous","Un homme","Professeur des Universités","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","une UFR avec une composante en informatique",">200","","","majoritairement informatique (rattaché INS2I ou INSIS)",">300",">300","0","","Oui","Par nécessité de service","<50","<50","0","0","3","2","2","3","2","4","3","1","3","4","2","4","4","1","J'aime toujours enseigner","","2","2","4","0","4","1","2","1","2","4","3","3","1","4","4","4","J'aime toujours faire de la recherche","Les conditions d'exercices sont de plus en plus difficile. Outre la baisse des moyens récurrents, il est difficile d'obtenir des financements pour les doctorants ou post-doctorants étant emmenés à travailler sur des sujets ""amont"", ""pas à la mode"",  ""exploratoires"", et , dans tous les cas, le salaire n'est jamais accompagné d'une part de fonctionnement (hors projets mais les sujets de recherche sont alors très contraints par les projets). Il devient donc difficile d'explorer des voies nouvelles, d'accompagner les doctorants dans la découverte du métier en leur permettant de faire leur thèse dans de bonnes conditions matérielles, humaines avec toutes les richesses qu'apportent les rencontres scientifiques en personne.
Si on ajoute à cela le manque de reconnaissance du métier de chercheur (à tous les niveaux : institutionnel, industriel, sociétal, salarial, ...), on ne peut donc que constater la baisse inquiétante du vivier de recrutement.","Oui","5 - 8","5 - 8","","<5","2","3","4","1","5","1","1","0","1","3","30/50/20","Non","Oui","4","2","4","Je ne fais plus de dossier RIPEC3 (choix personnel), ma progression de carrière est quelque peu limitée (arrivé à l'avant dernier échelon, le passage dans le dernier échelon se fera mais ensuite, plus rien ... ce n'est pas très motivant).
J'aime et je conseille toujours ce métier aux jeunes chercheurs et aux étudiants prometteurs en fin de master. Il est toutefois très difficile, voire impossible dans certaines thématiques, de concurrencer les offres de la recherche industrielle, proposant des salaires, des moyens matériels, humains, du budget de fonctionnement et des environnements de support qui n'ont rien à voir avec ce que peut offrir la recherche académique tout en permettant, voire en incitant la transmission du savoir et la participation à l'enseignement des chercheurs recrutés dans l'industrie."
"14","15898762","4/7/2023 15:02","4/7/2023 15:02","4/7/2023 15:02","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (avec HDR)","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","une UFR avec une composante en informatique",">200","","","pluridiciplinaire avec une forte composante informatique",">300","","20","","Oui","Par nécessité de service","51 - 80","81 - 120","0","12","2","2","4","4","1","4","1","3","3","NC","2","3","NC","NSPP","J'aime toujours enseigner mais un demi service me suffirait","Attention, pour être reconnu, l'investissement pédagogique doit être évalué, et pour être évalué positivement, il vaut mieux faire ce qui est à la mode, ce qui va à l'encontre de la liberté pédagogique. Dans notre université, on a plein de message pour faire des approches ""récentes"" alors qu'on manque cruellement d'enseignants (la moitié des heures faites par des non permanents avec des thésards responsables de gros modules et aussi une forte rotation). 
","4","","2","2","4","2","3","NC","NC","4","5","5","4","3","4","NC","J'aime toujours faire de la recherche mais j'ai reduit pour des raisons personnelles","Questionnement similaire à celui de Romain Couillet","Oui","5 - 8","<5","","","4","3","4","5","5","NC","NC","4","NC","4","0,5/0,3/0,2","Oui","Qui sait, sur un malentendu ...","3","3","3","intéressant oui mais j'ai l’impression qu'on devrait réserver l'informatique à des usages essentiel pour préserver l'environnement/climat et beaucoup de JC se posent les mêmes questions. Difficile de faire de l'informatique (et en particulier de l'IA) en accord avec ses convictions."
"15","15899015","4/7/2023 15:11","4/7/2023 15:11","4/7/2023 15:11","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","une UFR avec une composante en informatique",">200",">200",">200","majoritairement informatique (rattaché INS2I ou INSIS)",">300","50 - 100","10","Temps moyen de déplacement selon les sites, peut aller de 5 minutes à 20 minutes","Oui","Par nécessité de service","<50","<50","96","6 mois","2","2","4","4","4","5","5","5","5","5","1","3","NSPP","0","J'aime toujours enseigner mais un demi service me suffirait","dernière question, ""S'il y a""  et non pas ""S'il n'y a"" c'est tout =p","1","1","4","1","1","1","1","NSPP","4","4","4","4","4","4","NSPP","NSPP","J'aime toujours faire de la recherche","","Non","<5","<5","","<5","","","","","","","","","","","25/75/0","Non","Qui sait, sur un malentendu ...","4","1","3","On peut faire notre recherche comme on le souhaite, mais pas de reconnaissance de la charge (surcharge) que représente l'enseignement.

Informatique, il est très facile de gagner beaucoup plus avec beaucoup moins de charge mentale. (pour rester poli)

Un futur docteur s'il sait dans quoi il se lance alors je le soutiendrais, sinon autant partir dans l'industrie, moins de contrainte, meilleure reconnaissance "
"16","15899810","4/7/2023 15:43","4/7/2023 15:43","4/7/2023 15:43","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (avec HDR)","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","une UFR avec une composante en informatique",">200","151 - 200","","majoritairement informatique (rattaché INS2I ou INSIS)","<50","<50","20","Je suis Responsable de M2, mon travail a une forte composante bureaucratique.","Oui","Un peu des deux","81 - 120","81 - 120","0","0","1","2","0","1","NSPP","5","4","2","1","NSPP","1","3","NSPP","0","J'aime toujours enseigner","Quand un jeune me demande si devenir prof de fac est intéressant, je lui conseille d'aller voir ailleurs. Les arguments développés sont 
- les conditions dramatiques d'enseignement (e.g. les TP par groupes de TD),
- la disparition intégrale de toute liberté d'organisation personnelle (on ne nous a pas encore expliqué comment procéder pour pisser, mais ça va venir),
- le mensonge éhonté du ""on vous recrute pour faire de la recherche"", alors que les soit disant chercheurs pratiquent en réalité le métier de VRP, pour lequel ils ne sont pas bons,
- le fait que la recherche fondamentale est déclarée hors la loi,
- le fait que les directions de thèses se font sous le contrôle de plein de comités Théodule... à quoi sert l'HDR ?
- et je ne parle pas de la reconnaissance des actions conduites, quand les seuls qui obtiennent les promos sont les individualistes forcenés suffisamment lèche-cul pour se faire bien voir de qui il faut.

","0","0","2","0","0","NSPP","NSPP","NSPP","NSPP","NSPP","NSPP","NSPP","NSPP","NSPP","NSPP","NSPP","J'ai arrêté et pense ne plus recommencer","J'ai arrêté pour les raisons indiquées dans mon précédent commentaire.","Oui","9 - 15",">15","","","1","3","4","NSPP","0","0","0","0","1","0","33/33/33","Non","Non","1","1","1","Non sans hésitation aux trois questions. Voir mes réponses aux commentaires précédents."
"17","15899885","4/7/2023 15:47","4/7/2023 15:47","4/7/2023 15:47","0","0.0.0.0","0","Anonymous","Autre","Maître de Conférences (sans HDR)","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","une UFR avec une forte composante en informatique",">200",">200",">200","majoritairement informatique (rattaché INS2I ou INSIS)","201 - 300","50 - 100","30","","Oui","Par nécessité de service","81 - 120","81 - 120","0","0","3","2","3","2","3","3","4","4","4","2","1","1","1","4","J'aime toujours enseigner","","2","0","3","0","NC","0","0","0","NC","3","3","3","1","0","NC","NC","S'il y a un moyen de ne plus en faire sans pénaliser ma carrière, ça m'intéresse","","Oui","5 - 8",">15","","5 - 8","0","4","3","0","4","4","1","NC","2","2","20/10/70","Non","Non","3","1","1",""
"18","15899927","4/7/2023 15:49","4/7/2023 15:49","4/7/2023 15:49","0","0.0.0.0","0","Anonymous","Un homme","Professeur des Universités","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","une UFR avec une composante en informatique",">200","50 - 100","<50","pluridiciplinaire sans composante informatique forte",">300","<50","20","","Oui","Par nécessité de service","81 - 120","51 - 80","0","6","3","1","4","2","2","5","5","4","5","4","0","NC","NC","0","J'aime toujours enseigner mais un demi service me suffirait","","4","1","4","2","4","3","2","NC","2","3","3","2","1","3","2","3","J'aime toujours faire de la recherche","","Oui","9 - 15","","","9 - 15","2","1","3","5","0","2","2","1","1","5","30/50/20","Oui","Oui","2","1","1","La gestion administrative tue absolument tout. Il n'est plus possible de travailler sereinement, tous les dossiers sont devenus compliqués. Faire une mission demande plusieurs jours à temps complet puisque de notre côté tout doit être fait ; les recrutements sont une galère (demandes ZRR, saisies sur plusieurs sites simultanément, recherche de financements, étudiants démotivés, etc.)."
"19","15900109","4/7/2023 15:56","4/7/2023 15:56","4/7/2023 15:56","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","un département d'informatique d'IUT","101 - 150","101 - 150","","majoritairement informatique (rattaché INS2I ou INSIS)","101 - 200","50 - 100","40","","Oui","Un peu des deux","81 - 120","81 - 120","0","6","5","0","5","3","2","2","0","0","1","3","0","1","1","0","S'il y a un moyen de ne plus en enseigner, ça m'intéresse","Ce n'est pas qu'un probleme de nb d'heures mais il faudrait également noté que comme les EC sont affectés à des composantes, il est difficile pour les EC d'IUT d'enseigner en Master => encore plus difficile de se faire connaitre ou faire connaitre sa discipline de recherche auprés des potentiels étudiants désireux de faire une thèse ... ","3","2","3","4","0","0","0","0","1","0","4","1","0","1","2","NSPP","J'aime toujours faire de la recherche","L'administration n'est plus une aide mais un controle ! donc beaucoup moins de temps de faire de la recherche ","Oui","9 - 15","9 - 15","","","2","4","4","NC","5","5","5","4","0","0","30/60/10","Oui","Qui sait, sur un malentendu ...","1","1","1","Vu l'investissement, la reconnaissance et les taches administratives ingrates qui pourrissent notre temps de recherche et le salaire, je ne recommande pas ce métier "
"20","15901041","4/7/2023 16:28","4/7/2023 16:28","4/7/2023 16:28","0","0.0.0.0","0","Anonymous","Un homme","Professeur des Universités","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","une UFR avec une composante en informatique",">200","","","majoritairement informatique (rattaché INS2I ou INSIS)",">300","201 - 300","15","","Oui","Par nécessité de service","<50","<50","120","0","4","3","3","5","4","5","5","5","5","4","2","4","4","4","J'aime toujours enseigner","","4","4","4","3","4","3","3","3","4","4","4","4","3","4","4","4","J'aime toujours faire de la recherche","","Oui","9 - 15","5 - 8","","","4","4","5","0","4","NSPP","4","4","3","4","40/40/20","Oui","Oui","4","3","3",""
